Date,Open,High,Low,Close,Adj Close,Volume
2023-05-29,34.500000,37.500000,34.450001,37.500000,36.309525,50473668
2023-05-30,38.299999,39.000000,36.500000,37.700001,36.503174,134968416
2023-05-31,38.000000,38.250000,36.049999,36.849998,35.680157,70991349
2023-06-01,36.200001,36.299999,35.299999,35.549999,34.421429,41048382
2023-06-02,35.950001,37.599998,35.849998,36.250000,35.099205,63980764
2023-06-05,36.450001,36.750000,35.799999,36.250000,35.099205,22222081
2023-06-06,36.299999,36.299999,35.299999,36.200001,35.050793,26257102
2023-06-07,36.299999,36.900002,36.000000,36.750000,35.583332,24096184
2023-06-08,36.799999,37.099998,36.099998,36.400002,35.244446,16992432
2023-06-09,37.099998,38.900002,36.849998,38.650002,37.423016,84248606
2023-06-12,38.799999,39.000000,36.849998,36.950001,35.776985,43692104
2023-06-13,38.049999,40.599998,38.049999,40.599998,39.311111,129264983
2023-06-14,41.000000,44.450001,40.599998,42.950001,41.586510,184167282
2023-06-15,43.500000,46.349998,43.349998,46.000000,44.539684,158294915
2023-06-16,46.200001,47.349998,44.849998,45.500000,44.055557,137817557
2023-06-19,45.200001,45.250000,43.700001,44.099998,42.699997,81256894
2023-06-20,44.000000,44.000000,42.400002,43.099998,41.731743,77205961
2023-06-21,43.700001,45.250000,43.549999,44.750000,43.329365,80311881
2023-06-26,44.049999,45.150002,43.400002,44.349998,42.942062,49193041
2023-06-27,43.849998,44.150002,42.650002,42.900002,41.538097,38281335
2023-06-28,43.799999,44.450001,42.599998,42.700001,41.344444,43393815
2023-06-29,43.000000,43.500000,42.400002,43.150002,41.780159,26531863
2023-06-30,43.349998,43.750000,42.750000,43.200001,41.828571,38307088
2023-07-03,44.000000,45.599998,43.950001,44.150002,42.748413,79374345
2023-07-04,44.299999,48.549999,44.299999,47.150002,45.653175,178991293
2023-07-05,47.299999,47.400002,45.099998,45.200001,43.765079,95827123
2023-07-06,44.500000,46.599998,44.000000,44.700001,43.280952,75409914
2023-07-07,44.500000,46.000000,44.450001,44.599998,43.184124,63557596
2023-07-10,45.450001,45.799999,44.250000,44.400002,42.990479,47542236
2023-07-11,45.049999,47.250000,45.049999,47.250000,45.750000,111235996
2023-07-12,47.150002,48.799999,46.799999,47.599998,47.599998,194297654
2023-07-13,48.900002,52.299999,48.900002,50.799999,50.799999,166377172
2023-07-14,53.799999,55.799999,52.200001,55.799999,55.799999,217188548
2023-07-17,57.900002,61.299999,57.400002,61.299999,61.299999,108250617
2023-07-18,65.000000,67.400002,61.299999,65.500000,65.500000,297370495
2023-07-19,69.000000,70.699997,61.500000,63.599998,63.599998,278859857
2023-07-20,62.500000,63.599998,60.400002,62.299999,62.299999,49842525
2023-07-21,60.700001,67.599998,60.500000,67.000000,67.000000,44208335
2023-07-24,70.500000,70.500000,67.300003,70.199997,70.199997,56403535
2023-07-25,72.500000,73.500000,70.199997,72.000000,72.000000,51257278
2023-07-26,72.000000,72.000000,69.500000,70.000000,70.000000,34230860
2023-07-27,71.000000,72.000000,68.000000,68.099998,68.099998,34974904
2023-07-28,68.400002,69.900002,64.699997,69.900002,69.900002,41930986
2023-07-31,71.900002,71.900002,63.000000,63.700001,63.700001,45650165
2023-08-01,63.000000,65.000000,60.000000,64.099998,64.099998,36207907
2023-08-02,63.799999,63.799999,57.700001,58.900002,58.900002,38614286
2023-08-04,56.000000,60.000000,54.500000,58.000000,58.000000,118725101
2023-08-07,59.200001,63.799999,58.200001,63.799999,63.799999,102867294
2023-08-08,63.000000,64.900002,60.200001,60.900002,60.900002,160206319
2023-08-09,58.799999,61.700001,58.299999,59.500000,59.500000,78146312
2023-08-10,58.099998,58.700001,55.000000,57.500000,57.500000,87494910
2023-08-11,58.700001,59.500000,57.400002,57.500000,57.500000,71671347
2023-08-14,53.500000,56.700001,52.400002,53.099998,53.099998,105190734
2023-08-15,55.799999,57.000000,54.500000,54.599998,54.599998,80593165
2023-08-16,54.000000,58.000000,53.700001,58.000000,58.000000,93667715
2023-08-17,56.799999,59.900002,56.599998,59.500000,59.500000,102531191
2023-08-18,59.500000,60.200001,55.700001,57.000000,57.000000,85887350
2023-08-21,57.700001,59.400002,57.500000,57.900002,57.900002,53879440
2023-08-22,60.000000,60.400002,58.000000,58.200001,58.200001,68585518
2023-08-23,58.299999,59.599998,57.299999,59.200001,59.200001,41860368
2023-08-24,62.900002,63.299999,58.299999,58.599998,58.599998,95115339
2023-08-25,57.000000,57.599998,55.299999,55.799999,55.799999,63316661
2023-08-28,56.200001,56.500000,54.400002,54.500000,54.500000,34789277
2023-08-29,55.299999,55.700001,53.700001,54.599998,54.599998,27544717
2023-08-30,55.799999,56.299999,54.500000,54.599998,54.599998,27476038
2023-08-31,54.299999,56.400002,53.299999,56.400002,56.400002,49885761
2023-09-01,56.200001,56.299999,53.500000,53.599998,53.599998,44086894
2023-09-04,53.799999,54.700001,53.599998,54.700001,54.700001,21315476
2023-09-05,54.000000,55.900002,54.000000,55.900002,55.900002,25260485
2023-09-06,56.500000,57.500000,56.200001,56.599998,56.599998,35978809
2023-09-07,55.700001,55.900002,54.799999,54.799999,54.799999,24000268
2023-09-08,54.400002,55.099998,53.799999,54.000000,54.000000,22469690
2023-09-11,54.500000,54.500000,51.299999,52.099998,52.099998,48446739
2023-09-12,52.299999,52.500000,51.200001,51.299999,51.299999,31993805
2023-09-13,51.700001,51.700001,50.400002,51.000000,51.000000,24743796
2023-09-14,51.900002,52.799999,51.599998,52.099998,52.099998,25086798
2023-09-15,52.500000,52.599998,51.099998,52.099998,52.099998,37657148
2023-09-18,51.099998,51.099998,49.500000,49.650002,49.650002,28463957
2023-09-19,49.750000,50.500000,48.500000,48.500000,48.500000,30597670
2023-09-20,48.400002,49.849998,48.200001,48.500000,48.500000,31774252
2023-09-21,48.200001,48.700001,47.200001,48.299999,48.299999,32974917
2023-09-22,48.099998,49.349998,47.650002,49.349998,49.349998,20079119
2023-09-25,49.299999,49.950001,49.049999,49.450001,49.450001,19011622
2023-09-26,49.450001,49.849998,48.500000,48.700001,48.700001,15007356
2023-09-27,48.750000,49.049999,48.200001,48.849998,48.849998,12113505
2023-09-28,49.200001,50.599998,48.900002,49.000000,49.000000,28232507
2023-10-02,49.950001,53.099998,49.700001,52.200001,52.200001,69360751
2023-10-03,52.299999,52.299999,50.400002,50.599998,50.599998,32242923
2023-10-04,49.349998,50.299999,49.099998,50.099998,50.099998,25209728
2023-10-05,50.500000,51.299999,50.000000,50.799999,50.799999,17634985
2023-10-06,51.099998,52.000000,50.700001,51.099998,51.099998,17771142
2023-10-11,52.099998,52.099998,48.099998,48.099998,48.099998,56274368
2023-10-12,48.599998,49.299999,47.750000,48.250000,48.250000,29638792
2023-10-13,47.750000,48.000000,46.200001,47.349998,47.349998,45949124
2023-10-16,46.700001,47.299999,45.700001,46.200001,46.200001,30512261
2023-10-17,46.849998,47.000000,44.650002,44.950001,44.950001,40119383
2023-10-18,44.500000,45.099998,43.200001,44.500000,44.500000,64190046
2023-10-19,43.750000,44.150002,43.099998,43.450001,43.450001,33844775
2023-10-20,43.049999,44.349998,42.250000,43.650002,43.650002,33611713
2023-10-23,43.150002,44.400002,43.049999,43.450001,43.450001,17982376
2023-10-24,43.650002,44.750000,43.299999,44.599998,44.599998,22336895
2023-10-25,44.900002,44.950001,43.900002,43.950001,43.950001,17871136
2023-10-26,42.849998,43.750000,42.549999,43.000000,43.000000,19914988
2023-10-27,43.150002,43.700001,42.799999,42.950001,42.950001,14252062
2023-10-30,42.750000,43.200001,41.700001,41.900002,41.900002,29928200
2023-10-31,42.200001,42.450001,40.049999,40.200001,40.200001,36151555
2023-11-01,40.500000,40.849998,40.200001,40.700001,40.700001,20821800
2023-11-02,41.950001,42.900002,41.349998,41.750000,41.750000,30868973
2023-11-03,42.049999,42.150002,41.150002,41.500000,41.500000,16244520
2023-11-06,42.099998,42.900002,42.049999,42.200001,42.200001,18162545
2023-11-07,41.500000,42.599998,41.049999,42.000000,42.000000,20888537
2023-11-08,42.349998,44.299999,42.299999,43.200001,43.200001,40260631
2023-11-09,43.099998,43.099998,42.450001,42.650002,42.650002,15924331
2023-11-10,42.500000,42.900002,42.150002,42.500000,42.500000,11440808
2023-11-13,42.799999,44.150002,42.400002,43.549999,43.549999,31743671
2023-11-14,43.900002,44.049999,42.900002,43.400002,43.400002,17025132
2023-11-15,44.250000,44.650002,42.700001,42.700001,42.700001,33945023
2023-11-16,43.200001,44.200001,42.599998,43.049999,43.049999,32634823
2023-11-17,43.299999,43.500000,42.349998,42.650002,42.650002,22498319
2023-11-20,42.299999,42.450001,41.299999,42.150002,42.150002,40892127
2023-11-21,43.099998,45.150002,43.000000,44.000000,44.000000,77535087
